Book_name,1st Recommendation,2nd Recommendation,3rd Recommendation,4th Recommendation,5th Recommendation,Comments
1984,Fahrenheit 451,Brave New World,Animal Farm,The Hunger Games,Marrow Thieves ,"connected on dystopian fiction, censorship, oppression, totalitarianism, revolution/rebellion"
Things they Carried,All Quiet on the Western Front,Catch 22,Night ,The Hunger Games,The Outsiders ,"connected on historical fiction, burdens of war, war, hardship"
Macbeth,Hamlet,Julius Caesar,The Crucible,Picture of Dorian Gray,The Scarlet Letter ,"connected on classic/drama, tragedy, morality, ambition"
To kill a Mockingbird,The Hate U Give,The Color Purple,Invisible Man,Their Eyes Were Watching God ,Just Mercy,"connected on racism/race/racial inequality, identity, historical fiction, voice/advocacy"
Frankenstein ,Metamorphosis ,Of Mice and Men,Flowers for Algernon,The Scarlet Ibis ,Catcher in the Rye ,the theme of alientated from society 
The Lottery,Fahrenheit 451,Animal Farm ,1984,The Crucible ,Brave New World ,the theme of blind uniformity 
Alma and How She Got her Name ,The House on Mango Street,Fish Cheeks,Borders (Thomas King),The Last Stop on Market Street,Seedfolks,the theme of cultural heritage 
Kite Runner,The Outsiders,Lord of the Flies ,Speak,Catcher in the Rye ,Huckleberry Finn,the theme of loss of innocence
Legend of Sleepy Hollow ,The Fall of the House of Usher,The Monkeys Paw,The Canterville Ghost,The Black Cat,Macbeth,the idea of supernatural forces or ghosts
Great Gatsby,Romeo and Juliet ,Their Eyes Were Watching God,The Gift of the Magi,Pride & Prejudice,Jane Eyre,"the theme of love, and the different types of love "
Things Fall Apart,A Tale of Two Cities ,The Scarlet Letter,The Crucible ,Fahrenheit 451,The Odyssey ,the theme of cultural loss 
Beowulf ,The Odyssey ,Theseus and the Minotaur ,Most Dangerous Game ,The Hunger Games ,A Tale of Two Cities ,themes of heroism
The Fun they Had,The Pedestrian ,Brave New World,Fahrenheit 451,The Monkeys Paw,The Hunger Games,Themes of technologial control 
The Story of an Hour,The Yellow Wallpaper ,The Scarlet Letter ,The Color Purple ,Their Eyes Were Watching God ,Lamb to the Slaughter ,themes of patriarchy and feminism 
The Invention of Hugo Cabret ,Huckleberry Finn,The Outsiders ,Lord of the Flies ,Thank you Maam,Catcher in the Rye ,"themes of boyhood, identity, and learning about the world around them"
The Black Cat,Tell Tale Heart,Macbeth,Frankenstein,The Yellow Wallpaper,The Fall of the House of Usher ,themes of madness 
The Giving Tree,The Gift of the Magi,Of Mice and Men,The Scarlet Letter,To Kill a Mockingbird,Flowers for Algernon,themes of sacrafice 
Night ,The Hate U Give,Of Mice and Men,Grapes of Wrath,The Outsiders ,The Crucible ,"themes of injustice and prejudice (each of these novels represent a different type of prejudice, though)"
Lord of the Flies,The Stolen Party (Liliana Hecker),Annabel Lee,Catcher in the Rye,Snow,Language Lessons,loss of innocence
Alma and How She Got Her Name,The Boy in the Striped Pajamas ,The Book Thief ,How the Garcia Girls Lost Their Accents,The Thing Around Your Neck,Jacob Have I Loved,coming of age; cultural identity; family; legacy of heritage
A Raisin in the Sun,The Yellow Wallpaper,Educated,The Thing Around Your Neck,The Scarlet Pimpernel,Importance of Being Earnest ,family; gender roles; identity; resilience; the american dream
The Perks of Being a Wallflower ,Strange Case of Dr. Jekyll & Mr. Hyde,The Last Stop on Market Street, The Party ,Purple Hibiscus,The Cremation of Sam McGee,coming of age; friendship; identity
The Old Man and the Sea,Picture of Dorian Gray ,The Boy in the Striped Pajamas ,I am Malala,Things Fall Apart,Animal Farm,allegory; classic; friendship; pride; resilience
Crime and Punishment ,Alice's Adventures in Wonderland ,Speak,Uncle Tom's Cabin,And Then There Were None,Lord of the Flies,good vs. evil; guilt; loss of innocence; morality
The Hunger Games ,Little Women,I Know Why the Caged Bird Sings ,The Stolen Party (Liliana Hecker),Hatchet ,The Yellow Wallpaper,adventure; coming of age; freedom vs. control; social status
Tell Tale Heart,The Yellow Wallpaper,Macbeth,As I Lay Dying,Frankenstein,The Landlady ,guilt; horror; mortality; suspense; thriller
Canterbury Tales,The Outsiders,Wuthering Heights,Sir Knight of the Splendid Way,Importance of Being Earnest ,Charles,allegory; deceit; romance; social satire; social status
The Iliad,This Is Just to Say,Slaughterhouse-Five,Hamlet,Much Ado About Nothing,The Lightning Thief,fantasy; fate vs. free will; friendship; hero's journey; love; mortality
The Hate U Give,Importance of Being Earnest ,I Know Why the Caged Bird Sings ,Stargirl,The Lightning Thief,Marrow Thieves,coming of age; identity; young adult
"The Lion, the Witch and the Wardrobe ",The Joy Luck Club,Canterbury Tales,I am Malala,Wuthering Heights,All Quiet on the Western Front ,allegory; classic; family; friendship
Alice's Adventures in Wonderland ,The Canterville Ghost,Rat Ode,Hatchet ,Speak,The Invention of Hugo Cabret,adventure; fantasy; identity
Eleanor and Park,Catcher in the Rye,The Maze Runner,This Is Just to Say,David Copperfield,Purple Hibiscus,coming of age; family; identity; love
Little Women,All Quiet on the Western Front ,Uncle Tom's Cabin,The Color Purple,East of Eden,A Total Stranger One Black Day,classic; family; family drama; identity
A Man Called Ove,They Called Us Enemy,Hatchet ,Seedfolks ,A Raisin in the Sun,The Road,community; morality; resilience
The Landlady ,Picture of Dorian Gray ,A Rose for Emily,Charles,All Summer in a Day,The Pedestrian,horror; isolation; suspense
Love that Dog,Anne of Green Gables ,The Joy Luck Club,The Book Thief ,A Man Called Ove,All American Boys ,coming of age; emotional; grief
Slaughterhouse-Five,Huckleberry Finn,All Quiet on the Western Front ,Twleve Angry Men,Chronicle of a Death Foretold,"Alas, Babylon",burdens of war; dark; human nature; pyschological; satire
The Joy Luck Club,Educated,Uncle Tom's Cabin,Code Talker ,Speak,I am Not Your Perfect Mexican Daughter ,coming of age; cultural identity; family; legacy of heritage; mother-daughter relationships
David Copperfield,One Hundred Years of Solitude,Hatchet ,I Know Why the Caged Bird Sings ,As I Lay Dying,Great Expectations,coming of age; family; resilience
