Book_name,1st Recommendation,2nd Recommendation,3rd Recommendation,4th Recommendation,5th Recommendation,Comments
1984,Fahrenheit 451,Brave New World,Animal Farm,The Hunger Games,The Marrow Thieves ,"connected on dystopian fiction, censorship, oppression, totalitarianism, revolution/rebellion"
Things they Carried,All Quiet on the Western Front,Catch 22,Night ,The Hunger Games,The Outsiders ,"connected on historical fiction, burdens of war, war, hardship"
Macbeth,Hamlet,Julius Ceaser,The Crucible,The Picture of Dorian Gray,The Scarlett Letter ,"connected on classic/drama, tragedy, morality, ambition"
To kill a Mockingbird,The Hate U Give,The Color Purple,Invisible Man,Their Eyes Were Watching God ,Just Mercy,"connected on racism/race/racial inequality, identity, historical fiction, voice/advocacy"
Frankenstien ,Metamorphosis ,Of Mice and Men,Flowers for Algernon ,The Scarlet Ibis ,The Catcher in the Rye ,the theme of alientated from society 
The Lottery,Fahreheit 451,Animal Farm ,1984,The Crucible ,Brave New World ,the theme of blind uniformity 
Alma and How She Got her Name ,The House on Mango Street,Fish Cheeks,Borders,The Last Stop on Market Street,Seedfolks,the theme of cultural heritage 
The Kite Runner,The Outsiders,Lord of the Flies ,Speak,The Catcher in the Rye ,Huckleberry Finn,the theme of loss of innocence
The Legend of Sleepy Hallow ,The Fall of the House of Usher,The Monkey's Paw,The Canterville Ghost,The Black Cat,Macbeth,the idea of supernatural forces or ghosts
The Great Gatsby,Romeo and Juliet ,Their Eyes Were Watching God,The Gift of Magi,Pride and Prejudice,Jane Eyre,"the theme of love, and the different types of love "
Things Fall Apart,A Tale of Two Cities ,The Scarlet Letter,The Crucible ,Fahrenheit 451,The Odyssey ,the theme of cultural loss 
Beowulf ,The Odyssey ,Theseus and the Minotaur ,The Most Dangerous Game ,The Hunger Games ,A Tale of Two Cities ,themes of heroism
The Fun they Had,The Pedestrian ,Brave New World,Fahrenheirt 451,The Monkey's Paw,The Hunger Games,Themes of technologial control 
The Story of an Hour,The Yellow Wallpaper ,The Scarlet Letter ,The Color Purple ,Their Eyes Were Watching God ,Lamb to the Slaughter ,themes of patriarchy and feminism 
The Invention of Hugo Cabret ,Huckleberry Finn,The Outsiders ,The Lord of the Flies ,Thank you Ma'am,Catcher in the Rye ,"themes of boyhood, identity, and learning about the world around them"
The Black Cat,The Tell-Tale Heart,Macbeth,Frankenstien,The Yellow Wallpaper,The Fall of the House of Usher ,themes of madness 
The Giving Tree,The Gift of Magi,Of Mice and Men,The Scarlet Letter,To Kill a Mockingbird,Flowers of Algernon,themes of sacrafice 
Night ,The Hate U Give,Of Mice and Men,Grapes of Wrath,The Outsiders ,The Crucible ,"themes of injustice and prejudice (each of these novels represent a different type of prejudice, though)"
Great Expecations ,Of Mice and Men,The Grapes of Wrath,Huckleberry Finn,The Hunger Games ,The Outsiders ,themes of poverty
